gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var1,vars.plotted.Var2
32543,Ariake,32.5, 130.5,1,1,1_Asia,32543,11, 4
  913,Bolinus,37.5,-122.5,1,1,2_wNA,  913,11,10
  776,Boundary,49.5,-123.5,1,1,2_wNA,  776,21, 9
 1039,Elkhorn,36.5,-121.5,1,1,2_wNA, 1039,15,10
32791,Hiroshma,34.5, 132.5,1,1,1_Asia,32791, 3, 5
33041,Ibo,34.5, 134.5,1,1,1_Asia,33041,15, 5
33041,Kasuga,34.5, 134.5,1,1,1_Asia,33041,15, 5
33291,Kumode,34.5, 136.5,1,1,1_Asia,33291, 5, 6
33912,Mangoku,38.5, 141.5,1,1,1_Asia,33912,19, 7
33788,Matsukawa,37.5, 140.5,1,1,1_Asia,33788, 8, 7
33912,Matsushima,38.5, 141.5,1,1,1_Asia,33912,19, 7
33912,Nagazura,38.5, 141.5,1,1,1_Asia,33912,19, 7
33665,Obitsu,35.5, 139.5,1,1,1_Asia,33665,20, 6
  902,Padila,48.5,-122.5,1,1,2_wNA,  902, 8,10
33167,Tanabe,33.5, 135.5,1,1,1_Asia,33167,22, 5
33661,Toga,39.5, 139.5,1,1,1_Asia,33661,17, 6
33787,Torinoumi,38.5, 140.5,1,1,1_Asia,33787, 7, 7
33911,Yamada,39.5, 141.5,1,1,1_Asia,33911,18, 7
