gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var1,vars.plotted.Var2,source,reg
32415,Pop1,35.5, 129.5,1,1,1_Asia,32415,22, 3,nonSource,Korea
32039,Pop10,36.5, 126.5,1,1,1_Asia,32039, 2, 3,nonSource,Korea
32039,Pop11,36.5, 126.5,1,1,1_Asia,32039, 2, 3,nonSource,Korea
32041,Pop12,34.5, 126.5,1,1,1_Asia,32041, 4, 3,nonSource,Korea
32041,Pop13,34.5, 126.5,1,1,1_Asia,32041, 4, 3,nonSource,Korea
31566,Pop14, 9.5, 122.5,1,0,1_Asia,31566,NA,NA,China Japan,China Japan
33905,Pop15,45.5, 141.5,1,0,1_Asia,33905,NA,NA,China Japan,China Japan
33782,Pop16,43.5, 140.5,1,1,1_Asia,33782, 2, 7,hok,China Japan
33784,Pop17,41.5, 140.5,1,1,1_Asia,33784, 4, 7,hok,China Japan
33783,Pop18,42.5, 140.5,1,1,1_Asia,33783, 3, 7,hok,China Japan
33784,Pop19,41.5, 140.5,1,1,1_Asia,33784, 4, 7,hok,China Japan
32415,Pop2,35.5, 129.5,1,1,1_Asia,32415,22, 3,nonSource,Korea
33784,Pop20,41.5, 140.5,1,1,1_Asia,33784, 4, 7,hok,China Japan
33662,Pop21,38.5, 139.5,1,1,1_Asia,33662,18, 6,nonSource,China Japan
32542,Pop22,33.5, 130.5,1,1,1_Asia,32542,10, 4,kag,China Japan
32417,Pop23,33.5, 129.5,1,1,1_Asia,32417, 2, 4,kag,China Japan
32668,Pop24,32.5, 131.5,1,1,1_Asia,32668,18, 4,kag,China Japan
32916,Pop25,34.5, 133.5,1,1,1_Asia,32916, 9, 5,sea,China Japan
33041,Pop26,34.5, 134.5,1,1,1_Asia,33041,15, 5,sea,China Japan
33041,Pop27,34.5, 134.5,1,1,1_Asia,33041,15, 5,sea,China Japan
33041,Pop28,34.5, 134.5,1,1,1_Asia,33041,15, 5,sea,China Japan
33166,Pop29,34.5, 135.5,1,1,1_Asia,33166,21, 5,sea,China Japan
32287,Pop3,38.5, 128.5,1,1,1_Asia,32287,13, 3,nonSource,Korea
33291,Pop30,34.5, 136.5,1,1,1_Asia,33291, 5, 6,tok,China Japan
33541,Pop31,34.5, 138.5,1,1,1_Asia,33541,13, 6,tok,China Japan
33665,Pop32,35.5, 139.5,1,1,1_Asia,33665,20, 6,tok,China Japan
33665,Pop33,35.5, 139.5,1,1,1_Asia,33665,20, 6,tok,China Japan
33665,Pop34,35.5, 139.5,1,1,1_Asia,33665,20, 6,tok,China Japan
33790,Pop35,35.5, 140.5,1,1,1_Asia,33790,10, 7,tok,China Japan
33789,Pop36,36.5, 140.5,1,1,1_Asia,33789, 9, 7,hon,China Japan
33912,Pop37,38.5, 141.5,1,1,1_Asia,33912,19, 7,hon,China Japan
 1039,Pop38,36.5,-121.5,1,1,2_wNA, 1039,15,10,USA,USA
 1417,Pop39,33.5,-118.5,1,1,2_wNA, 1417, 1,11,USA,USA
32288,Pop4,37.5, 128.5,1,1,1_Asia,32288,14, 3,nonSource,Korea
 1291,Pop40,34.5,-119.5,1,1,2_wNA, 1291,20,10,USA,USA
 1669,Pop41,31.5,-116.5,1,1,2_wNA, 1669, 8,11,Mexico,Mexico
32291,Pop5,34.5, 128.5,1,1,1_Asia,32291,16, 3,nonSource,Korea
32415,Pop6,35.5, 129.5,1,1,1_Asia,32415,22, 3,nonSource,Korea
32042,Pop7,33.5, 126.5,1,1,1_Asia,32042, 5, 3,nonSource,Korea
15652,Pop70,48.5,  -4.5,1,1,3_Eur,15652, 6,16,France,France
15777,Pop71,48.5,  -3.5,1,1,3_Eur,15777,19,16,France,France
32038,Pop8,37.5, 126.5,1,1,1_Asia,32038, 1, 3,nonSource,Korea
32039,Pop9,36.5, 126.5,1,1,1_Asia,32039, 2, 3,nonSource,Korea
